

lambda(m), TE3
1.59732e-06, 0.995963
1.59679e-06, 0.996028
1.59626e-06, 0.996092
1.59572e-06, 0.996155
1.59519e-06, 0.996216
1.59466e-06, 0.996275
1.59413e-06, 0.996334
1.59359e-06, 0.996391
1.59306e-06, 0.996446
1.59253e-06, 0.9965
1.592e-06, 0.996553
1.59147e-06, 0.996604
1.59094e-06, 0.996654
1.59041e-06, 0.996702
1.58988e-06, 0.996749
1.58935e-06, 0.996795
1.58882e-06, 0.996839
1.58829e-06, 0.996881
1.58777e-06, 0.996923
1.58724e-06, 0.996962
1.58671e-06, 0.997001
1.58618e-06, 0.997037
1.58566e-06, 0.997073
1.58513e-06, 0.997107
1.58461e-06, 0.997139
1.58408e-06, 0.99717
1.58355e-06, 0.997199
1.58303e-06, 0.997227
1.5825e-06, 0.997254
1.58198e-06, 0.997279
1.58146e-06, 0.997302
1.58093e-06, 0.997324
1.58041e-06, 0.997345
1.57989e-06, 0.997364
1.57937e-06, 0.997381
1.57884e-06, 0.997397
1.57832e-06, 0.997411
1.5778e-06, 0.997424
1.57728e-06, 0.997435
1.57676e-06, 0.997445
1.57624e-06, 0.997454
1.57572e-06, 0.99746
1.5752e-06, 0.997466
1.57468e-06, 0.997469
1.57416e-06, 0.997471
1.57364e-06, 0.997472
1.57312e-06, 0.997471
1.5726e-06, 0.997469
1.57209e-06, 0.997465
1.57157e-06, 0.997459
1.57105e-06, 0.997452
1.57054e-06, 0.997444
1.57002e-06, 0.997433
1.5695e-06, 0.997422
1.56899e-06, 0.997408
1.56847e-06, 0.997394
1.56796e-06, 0.997377
1.56744e-06, 0.997359
1.56693e-06, 0.99734
1.56642e-06, 0.997319
1.5659e-06, 0.997296
1.56539e-06, 0.997272
1.56488e-06, 0.997247
1.56436e-06, 0.997219
1.56385e-06, 0.997191
1.56334e-06, 0.99716
1.56283e-06, 0.997129
1.56232e-06, 0.997095
1.56181e-06, 0.99706
1.56129e-06, 0.997024
1.56078e-06, 0.996986
1.56027e-06, 0.996946
1.55976e-06, 0.996905
1.55926e-06, 0.996863
1.55875e-06, 0.996819
1.55824e-06, 0.996773
1.55773e-06, 0.996726
1.55722e-06, 0.996677
1.55671e-06, 0.996627
1.55621e-06, 0.996575
1.5557e-06, 0.996522
1.55519e-06, 0.996467
1.55469e-06, 0.996411
1.55418e-06, 0.996353
1.55368e-06, 0.996294
1.55317e-06, 0.996233
1.55267e-06, 0.996171
1.55216e-06, 0.996107
1.55166e-06, 0.996042
1.55115e-06, 0.995975
1.55065e-06, 0.995906
1.55015e-06, 0.995837
1.54964e-06, 0.995765
1.54914e-06, 0.995693
1.54864e-06, 0.995618
1.54814e-06, 0.995543
1.54763e-06, 0.995465
1.54713e-06, 0.995387
1.54663e-06, 0.995307
1.54613e-06, 0.995225
1.54563e-06, 0.995142
1.54513e-06, 0.995058
1.54463e-06, 0.994972
1.54413e-06, 0.994884
1.54363e-06, 0.994796
1.54313e-06, 0.994705
1.54264e-06, 0.994614
1.54214e-06, 0.994521
1.54164e-06, 0.994426
1.54114e-06, 0.99433
1.54065e-06, 0.994233
1.54015e-06, 0.994134
1.53965e-06, 0.994034
1.53916e-06, 0.993932
1.53866e-06, 0.993829
1.53816e-06, 0.993725
1.53767e-06, 0.993619
1.53717e-06, 0.993512
1.53668e-06, 0.993404
1.53619e-06, 0.993294
1.53569e-06, 0.993183
1.5352e-06, 0.99307
1.5347e-06, 0.992956
1.53421e-06, 0.992841
1.53372e-06, 0.992724
1.53323e-06, 0.992606
1.53273e-06, 0.992487
1.53224e-06, 0.992367
1.53175e-06, 0.992245
1.53126e-06, 0.992121
1.53077e-06, 0.991997
1.53028e-06, 0.991871
1.52979e-06, 0.991744
1.5293e-06, 0.991615
1.52881e-06, 0.991486
1.52832e-06, 0.991354
1.52783e-06, 0.991222
1.52734e-06, 0.991089
1.52685e-06, 0.990954
1.52637e-06, 0.990818
1.52588e-06, 0.99068
1.52539e-06, 0.990542
1.5249e-06, 0.990402
1.52442e-06, 0.990261
1.52393e-06, 0.990118
1.52344e-06, 0.989975
1.52296e-06, 0.98983
1.52247e-06, 0.989684
1.52199e-06, 0.989537
1.5215e-06, 0.989389
1.52102e-06, 0.989239
1.52053e-06, 0.989089
1.52005e-06, 0.988937
1.51957e-06, 0.988784
1.51908e-06, 0.988629
1.5186e-06, 0.988474
1.51812e-06, 0.988318
1.51764e-06, 0.98816
1.51715e-06, 0.988001
1.51667e-06, 0.987841
1.51619e-06, 0.98768
1.51571e-06, 0.987518
1.51523e-06, 0.987355
1.51475e-06, 0.98719
1.51427e-06, 0.987025
1.51379e-06, 0.986858
1.51331e-06, 0.986691
1.51283e-06, 0.986522
1.51235e-06, 0.986352
1.51187e-06, 0.986182
1.51139e-06, 0.98601
1.51091e-06, 0.985837
1.51044e-06, 0.985663
1.50996e-06, 0.985488
1.50948e-06, 0.985312
1.509e-06, 0.985135
1.50853e-06, 0.984957
1.50805e-06, 0.984778
1.50758e-06, 0.984598
1.5071e-06, 0.984417
1.50662e-06, 0.984236
1.50615e-06, 0.984053
1.50567e-06, 0.983869
1.5052e-06, 0.983684
1.50473e-06, 0.983498
1.50425e-06, 0.983312
1.50378e-06, 0.983124
1.50331e-06, 0.982936
1.50283e-06, 0.982746
1.50236e-06, 0.982556
1.50189e-06, 0.982365
1.50141e-06, 0.982173
1.50094e-06, 0.98198
1.50047e-06, 0.981786
1.5e-06, 0.981591



lambda(m), TE0
1.6e-06, 0.998696
1.59946e-06, 0.998684
1.59893e-06, 0.998671
1.59839e-06, 0.998659
1.59786e-06, 0.998646
1.59732e-06, 0.998632
1.59679e-06, 0.998618
1.59626e-06, 0.998604
1.59572e-06, 0.99859
1.59519e-06, 0.998575
1.59466e-06, 0.99856
1.59413e-06, 0.998544
1.59359e-06, 0.998528
1.59306e-06, 0.998512
1.59253e-06, 0.998495
1.592e-06, 0.998478
1.59147e-06, 0.998461
1.59094e-06, 0.998444
1.59041e-06, 0.998426
1.58988e-06, 0.998408
1.58935e-06, 0.998389
1.58882e-06, 0.99837
1.58829e-06, 0.998351
1.58777e-06, 0.998331
1.58724e-06, 0.998311
1.58671e-06, 0.998291
1.58618e-06, 0.99827
1.58566e-06, 0.998249
1.58513e-06, 0.998228
1.58461e-06, 0.998207
1.58408e-06, 0.998185
1.58355e-06, 0.998162
1.58303e-06, 0.99814
1.5825e-06, 0.998117
1.58198e-06, 0.998093
1.58146e-06, 0.99807
1.58093e-06, 0.998046
1.58041e-06, 0.998022
1.57989e-06, 0.997997
1.57937e-06, 0.997972
1.57884e-06, 0.997947
1.57832e-06, 0.997921
1.5778e-06, 0.997895
1.57728e-06, 0.997869
1.57676e-06, 0.997842
1.57624e-06, 0.997815
1.57572e-06, 0.997788
1.5752e-06, 0.997761
1.57468e-06, 0.997733
1.57416e-06, 0.997705
1.57364e-06, 0.997676
1.57312e-06, 0.997647
1.5726e-06, 0.997618
1.57209e-06, 0.997588
1.57157e-06, 0.997558
1.57105e-06, 0.997528
1.57054e-06, 0.997498
1.57002e-06, 0.997467
1.5695e-06, 0.997436
1.56899e-06, 0.997404
1.56847e-06, 0.997373
1.56796e-06, 0.99734
1.56744e-06, 0.997308
1.56693e-06, 0.997275
1.56642e-06, 0.997242
1.5659e-06, 0.997209
1.56539e-06, 0.997175
1.56488e-06, 0.997141
1.56436e-06, 0.997107
1.56385e-06, 0.997072
1.56334e-06, 0.997037
1.56283e-06, 0.997002
1.56232e-06, 0.996966
1.56181e-06, 0.99693
1.56129e-06, 0.996894
1.56078e-06, 0.996857
1.56027e-06, 0.99682
1.55976e-06, 0.996783
1.55926e-06, 0.996746
1.55875e-06, 0.996708
1.55824e-06, 0.99667
1.55773e-06, 0.996631
1.55722e-06, 0.996592
1.55671e-06, 0.996553
1.55621e-06, 0.996514
1.5557e-06, 0.996474
